MEDIACATALOGUE | DEBUG | 10:58:19 | 16.49 | Started loading file: sort-nicejob.wav
MEDIACATALOGUE | DEBUG | 10:58:19 | 16.5 | Started loading file: startbasketball.mp3
MEDIACATALOGUE | DEBUG | 10:58:19 | 16.52 | Started loading file: startsim.wav
MEDIACATALOGUE | DEBUG | 10:58:19 | 16.61 | Started loading file: starttinyearthmoons.wav
MEDIACATALOGUE | DEBUG | 10:58:19 | 16.62 | Started loading file: Test55.mp3
MEDIACATALOGUE | DEBUG | 10:58:25 | 16.73 | Started loading file: tinyearthmoon.wav
MEDIACATALOGUE | DEBUG | 10:58:25 | 17.08 | Started loading file: 2k_earth_daymap.jpg
MEDIACATALOGUE | DEBUG | 10:58:25 | 17.39 | Started loading file: 2k_moon.jpg
MEDIACATALOGUE | DEBUG | 10:58:26 | 17.74 | Started loading file: 2k_sun.jpg
MEDIACATALOGUE | DEBUG | 10:58:26 | 18.08 | Started loading file: balldimpled.png
LOGINMANAGER | TRACE | 10:58:26 | 18.15 | InitializeLabManager()
LABMANAGER | TRACE | 10:58:26 | 18.15 | Initialize()
LABMANAGER | TRACE | 10:58:26 | 18.15 | setTransmissionUI(Wait)
BRIDGE | TRACE | 10:58:26 | 18.15 | ConnectToTransmission()
LABMANAGER | DEBUG | 10:58:26 | 18.15 | Our Address: 192.168.181.27
LABMANAGER | TRACE | 10:58:28 | 20.16 | setTransmissionUI(Peer)
LABMANAGER | TRACE | 10:58:30 | 22.16 | setTransmissionUI(Host)
LABMANAGER | TRACE | 10:58:32 | 24.18 | setTransmissionUI(Host)
LABMANAGER | TRACE | 10:58:34 | 26.18 | setTransmissionUI(Host)
LABMANAGER | TRACE | 10:58:36 | 28.19 | setTransmissionUI(Host)
LABMANAGER | TRACE | 10:58:38 | 30.2 | setTransmissionUI(Host)
LABMANAGER | TRACE | 10:58:40 | 32.2 | setTransmissionUI(Host)
LABMANAGER | TRACE | 10:58:41 | 32.88 | handleStartLabButton()
LABMANAGER | TRACE | 10:58:41 | 32.88 | TransmissionStartLab()
LABMANAGER | STATE_START | 10:58:41 | 32.88 | Module 0
LIGHTINGCONTROL | TRACE | 10:58:41 | 32.88 | saveLights()
LIGHTINGCONTROL | TRACE | 10:58:41 | 32.88 | sunlight()
BRIDGE | TRACE | 10:58:41 | 32.88 | MakeObject() : Sun, type: Prefabs/SunPrefab, transmitted: False
BRIDGE | TRACE | 10:58:41 | 32.88 | instantiateObject()
BRIDGE | TRACE | 10:58:41 | 32.88 | transmitObject(), Obj Name: Sun, object guid: d7922366-2f14-409a-ab29-c3594886ec60
BRIDGE | TRACE | 10:58:41 | 32.88 | Transmitting Object, message guid: 3433d8ac-f331-4075-a86f-bebf36724325
BRIDGE | TRACE | 10:58:41 | 32.88 | initializeObject() : Sun
BRIDGE | DEBUG | 10:58:41 | 32.88 | Setting object Sun parent to [CURRENT_LAB]
BRIDGE | TRACE | 10:58:42 | 32.88 | modifyObject() : Sun
BRIDGE | DEBUG | 10:58:42 | 32.88 | Position: (-37.944, -0.628, 8.321), scale: (5.000, 5.000, 5.000), EulerAngles: (0.000, 11.885, 0.000)
BRIDGE | DEBUG | 10:58:42 | 32.88 | Could not find TextMeshPro component on object that was supposed to be updated: Sun
BRIDGE | DEBUG | 10:58:42 | 32.88 | Mesh bounding box: Center: (-37.944, -0.628, 8.321), Extents: (2.961, 2.500, 2.961)
BRIDGE | TRACE | 10:58:42 | 32.88 | MakeObject() : Earth, type: Prefabs/moveableSphere, transmitted: False
BRIDGE | TRACE | 10:58:42 | 32.88 | instantiateObject()
BRIDGE | TRACE | 10:58:42 | 32.88 | transmitObject(), Obj Name: Earth, object guid: 4f3517b6-8539-4dbf-881d-7f1c56106af0
BRIDGE | TRACE | 10:58:42 | 32.88 | Transmitting Object, message guid: 7eda9d08-49f2-4043-937f-fa75520f4d94
BRIDGE | TRACE | 10:58:42 | 32.88 | initializeObject() : Earth
BRIDGE | DEBUG | 10:58:42 | 32.88 | Setting object Earth parent to [CURRENT_LAB]
BRIDGE | TRACE | 10:58:42 | 32.88 | modifyObject() : Earth
BRIDGE | DEBUG | 10:58:42 | 32.88 | Position: (0.529, -0.628, 1.757), scale: (0.080, 0.080, 0.080), EulerAngles: (0.000, 11.885, 0.000)
BRIDGE | DEBUG | 10:58:42 | 32.88 | Could not find TextMeshPro component on object that was supposed to be updated: Earth
BRIDGE | DEBUG | 10:58:42 | 32.88 | Mesh bounding box: Center: (0.529, -0.628, 1.757), Extents: (0.047, 0.040, 0.047)
BRIDGE | TRACE | 10:58:42 | 32.88 | MakeObject() : Moon, type: Prefabs/moveableSphere, transmitted: False
BRIDGE | TRACE | 10:58:42 | 32.88 | instantiateObject()
BRIDGE | TRACE | 10:58:42 | 32.88 | transmitObject(), Obj Name: Moon, object guid: a58f1fee-5244-4380-b865-89dd3d73c213
BRIDGE | TRACE | 10:58:42 | 32.88 | Transmitting Object, message guid: 9026be42-6376-473e-94b2-09f1d96aa658
BRIDGE | TRACE | 10:58:42 | 32.88 | initializeObject() : Moon
